#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181109,24.0981,1.1133
YH0205,1,20181109,23.3867,2.91884
YH0205,2,20181109,29.2269,2.10027
YH0205,3,20181109,36.0658,3.73598
YH0205,4,20181109,25.523,3.55453
YH0205,5,20181109,28.8671,3.82999
YH0205,6,20181109,1.29727e-09,0
YH0205,7,20181109,25.8781,2.32411
YH0205,8,20181109,31.7267,2.5687
YH0205,9,20181109,15.2536,3.98342
YH0205,10,20181109,16.0117,5.68872
YH0205,11,20181109,25.2831,4.53036
YH0205,12,20181109,23.1666,4.41388
YH0205,13,20181109,22.5168,4.98698
YH0205,14,20181109,19.8587,3.99627
YH0205,15,20181109,14.2309,5.8884
YH0205,16,20181109,24.4763,6.99509
