#MCP-PMT ID,Ch No.,Date,# of Entries,HV Set Value / V,HV Start / V,HV End / V,Start Time,End Time
YH0205,0,20181109,891046,0,2400,2100,1541741269,1541748919
YH0205,1,20181109,53562,0,2400,2100,1541741269,1541747899
YH0205,1,20181109,7260,2400,2400,2400,1541741269,1541741335
YH0205,1,20181109,7348,2350,2350,2350,1541742362,1541742428
YH0205,1,20181109,6954,2300,2300,2300,1541743455,1541743521
YH0205,1,20181109,7141,2250,2250,2250,1541744550,1541744616
YH0205,1,20181109,8554,2200,2200,2200,1541745642,1541745708
YH0205,1,20181109,8205,2150,2150,2150,1541746739,1541746805
YH0205,1,20181109,8100,2100,2100,2100,1541747832,1541747899
YH0205,2,20181109,56085,0,2400,2100,1541741336,1541747967
YH0205,2,20181109,7763,2400,2400,2400,1541741336,1541741403
YH0205,2,20181109,7709,2350,2350,2350,1541742430,1541742496
YH0205,2,20181109,7412,2300,2300,2300,1541743523,1541743589
YH0205,2,20181109,7635,2250,2250,2250,1541744617,1541744684
YH0205,2,20181109,8815,2200,2200,2200,1541745710,1541745776
YH0205,2,20181109,8486,2150,2150,2150,1541746807,1541746873
YH0205,2,20181109,8265,2100,2100,2100,1541747900,1541747967
YH0205,3,20181109,58355,0,2400,2100,1541741404,1541748035
YH0205,3,20181109,7712,2400,2400,2400,1541741404,1541741470
YH0205,3,20181109,7599,2350,2350,2350,1541742498,1541742564
YH0205,3,20181109,7610,2300,2300,2300,1541743591,1541743657
YH0205,3,20181109,7607,2250,2250,2250,1541744685,1541744752
YH0205,3,20181109,9367,2200,2200,2200,1541745778,1541745844
YH0205,3,20181109,9431,2150,2150,2150,1541746875,1541746941
YH0205,3,20181109,9029,2100,2100,2100,1541747968,1541748035
YH0205,4,20181109,54007,0,2400,2100,1541741472,1541748103
YH0205,4,20181109,7196,2400,2400,2400,1541741472,1541741538
YH0205,4,20181109,7310,2350,2350,2350,1541742566,1541742632
YH0205,4,20181109,7231,2300,2300,2300,1541743659,1541743725
YH0205,4,20181109,7217,2250,2250,2250,1541744753,1541744820
YH0205,4,20181109,8467,2200,2200,2200,1541745846,1541745912
YH0205,4,20181109,8459,2150,2150,2150,1541746943,1541747009
YH0205,4,20181109,8127,2100,2100,2100,1541748036,1541748103
YH0205,5,20181109,53644,0,2400,2100,1541741540,1541748171
YH0205,5,20181109,7592,2400,2400,2400,1541741540,1541741606
YH0205,5,20181109,7534,2350,2350,2350,1541742634,1541742700
YH0205,5,20181109,7692,2300,2300,2300,1541743727,1541743793
YH0205,5,20181109,7565,2250,2250,2250,1541744821,1541744888
YH0205,5,20181109,7747,2200,2200,2200,1541745914,1541745981
