#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181112,-17.4719,0.00785293
YH0205,1,20181112,-18.4587,0.00824319
YH0205,2,20181112,-19.1458,0.00853856
YH0205,3,20181112,-18.0335,0.00807213
YH0205,4,20181112,-17.3991,0.00785285
YH0205,5,20181112,-17.7438,0.00806607
YH0205,6,20181112,-17.1564,0.00778543
YH0205,7,20181112,-16.9793,0.00766699
YH0205,8,20181112,-17.7802,0.00807338
YH0205,9,20181112,-18.6139,0.00830125
YH0205,10,20181112,-16.307,0.00742892
YH0205,11,20181112,-16.1578,0.00731331
YH0205,12,20181112,-17.5608,0.00790683
YH0205,13,20181112,-14.6581,0.00660023
YH0205,14,20181112,-17.4035,0.0077965
YH0205,15,20181112,-18.844,0.00835865
YH0205,16,20181112,-19.3736,0.00840983
