#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181109,-17.4523,0.00785006
YH0205,1,20181109,-18.6843,0.00835027
YH0205,2,20181109,-18.5928,0.00830707
YH0205,3,20181109,-17.8849,0.00801472
YH0205,4,20181109,-17.2076,0.00777268
YH0205,5,20181109,-17.9208,0.00815265
YH0205,6,20181109,-17.0018,0.00771868
YH0205,7,20181109,-16.9865,0.00767197
YH0205,8,20181109,-18.1698,0.00825464
YH0205,9,20181109,-18.6323,0.00830607
YH0205,10,20181109,-16.0985,0.00733761
YH0205,11,20181109,-16.2531,0.00736315
YH0205,12,20181109,-17.4495,0.00786623
YH0205,13,20181109,-14.5858,0.00657208
YH0205,14,20181109,-17.6921,0.00792908
YH0205,15,20181109,-18.5496,0.00823588
YH0205,16,20181109,-19.4582,0.00845872
