#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181112,26.7566,0.993187
YH0205,1,20181112,27.144,2.14469
YH0205,2,20181112,29.1231,1.78731
YH0205,3,20181112,30.2213,2.45823
YH0205,4,20181112,32.2293,2.80133
YH0205,5,20181112,33.4127,5.86607
YH0205,6,20181112,29.1243,1.78186
YH0205,7,20181112,34.6281,2.36027
YH0205,8,20181112,31.6622,2.50391
YH0205,9,20181112,14.2952,3.59945
YH0205,10,20181112,22.1122,3.33193
YH0205,11,20181112,24.3885,4.82042
YH0205,12,20181112,23.8972,4.78964
YH0205,13,20181112,25.805,4.42639
YH0205,14,20181112,20.72,4.16373
YH0205,15,20181112,20.8246,4.92743
YH0205,16,20181112,28.5181,7.06888
