#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181107,28.7061,0.999441
YH0205,1,20181107,25.8352,2.41616
YH0205,2,20181107,33.0067,3.63937
YH0205,3,20181107,27.4644,3.0199
YH0205,4,20181107,35.6201,3.03486
YH0205,5,20181107,31.9812,4.73269
YH0205,6,20181107,29.4476,2.04648
YH0205,7,20181107,32.9505,1.87735
YH0205,8,20181107,34.2412,2.58374
YH0205,9,20181107,21.1367,5.48803
YH0205,10,20181107,28.2859,3.63475
YH0205,11,20181107,27.5695,4.73499
YH0205,12,20181107,31.4809,3.5236
YH0205,13,20181107,25.6349,4.50666
YH0205,14,20181107,23.4176,5.63999
YH0205,15,20181107,25.6133,4.1102
YH0205,16,20181107,25.612,5.85963
