#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181106,29.168,1.01366
YH0205,1,20181106,27.2677,2.27945
YH0205,2,20181106,30.6835,2.82112
YH0205,3,20181106,32.638,2.76568
YH0205,4,20181106,27.4329,3.56453
YH0205,5,20181106,35.1312,4.52984
YH0205,6,20181106,29.9426,2.17876
YH0205,7,20181106,31.2447,2.63369
YH0205,8,20181106,33.5832,2.31428
YH0205,9,20181106,26.1712,2.64281
YH0205,10,20181106,27.8035,3.03368
YH0205,11,20181106,27.6635,5.98236
YH0205,12,20181106,29.5408,3.21449
YH0205,13,20181106,28.2895,4.46801
YH0205,14,20181106,27.2759,4.09316
YH0205,15,20181106,24.4316,3.54232
YH0205,16,20181106,27.5882,8.96654
