#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20181007,25.5023,1.32829
JT0695,1,20181007,28.5795,2.55342
JT0695,2,20181007,29.1052,3.91756
JT0695,3,20181007,27.0787,13.7387
JT0695,4,20181007,27.764,2.48512
JT0695,5,20181007,31.9425,4.87708
JT0695,6,20181007,27.5808,2.38396
JT0695,7,20181007,27.6616,2.89312
JT0695,8,20181007,30.4289,2.95867
JT0695,9,20181007,13.338,3.99967
JT0695,10,20181007,23.9792,4.65166
JT0695,11,20181007,23.0179,5.25232
JT0695,12,20181007,22.2073,3.73476
JT0695,13,20181007,26.5375,6.07562
JT0695,14,20181007,23.2031,4.69396
JT0695,15,20181007,23.3805,4.28429
JT0695,16,20181007,22.2313,5.6407
