#MCP-PMT ID,Ch No.,Date,# of Entries,HV Set Value / V,HV Start / V,HV End / V,Start Time,End Time
JT0695,0,20181007,710400,0,3260,2860,1538890084,1538897739
JT0695,1,20181007,41751,0,3260,2860,1538890084,1538896723
JT0695,1,20181007,5566,3260,3260,3260,1538890084,1538890150
JT0695,1,20181007,5781,3210,3210,3210,1538891179,1538891245
JT0695,1,20181007,6078,3160,3160,3160,1538892271,1538892337
JT0695,1,20181007,6043,3110,3110,3110,1538893371,1538893438
JT0695,1,20181007,6211,3060,3060,3060,1538894468,1538894535
JT0695,1,20181007,6148,2960,2960,2960,1538895564,1538895631
JT0695,1,20181007,5924,2860,2860,2860,1538896657,1538896723
JT0695,2,20181007,41049,0,3260,2860,1538890152,1538896791
JT0695,2,20181007,5792,3260,3260,3260,1538890152,1538890218
JT0695,2,20181007,5803,3210,3210,3210,1538891247,1538891313
JT0695,2,20181007,5949,3160,3160,3160,1538892340,1538892406
JT0695,2,20181007,6002,3110,3110,3110,1538893440,1538893506
JT0695,2,20181007,6068,3060,3060,3060,1538894537,1538894603
JT0695,2,20181007,5888,2960,2960,2960,1538895632,1538895699
JT0695,2,20181007,5547,2860,2860,2860,1538896724,1538896791
JT0695,3,20181007,42015,0,3260,2860,1538890220,1538896859
JT0695,3,20181007,5726,3260,3260,3260,1538890220,1538890286
JT0695,3,20181007,5855,3210,3210,3210,1538891314,1538891381
JT0695,3,20181007,6162,3160,3160,3160,1538892408,1538892475
JT0695,3,20181007,6178,3110,3110,3110,1538893508,1538893574
JT0695,3,20181007,6079,3060,3060,3060,1538894605,1538894671
JT0695,3,20181007,6148,2960,2960,2960,1538895700,1538895767
JT0695,3,20181007,5867,2860,2860,2860,1538896792,1538896859
JT0695,4,20181007,43993,0,3260,2860,1538890288,1538896926
JT0695,4,20181007,5723,3260,3260,3260,1538890288,1538890354
JT0695,4,20181007,5826,3210,3210,3210,1538891382,1538891449
JT0695,4,20181007,6646,3160,3160,3160,1538892477,1538892543
JT0695,4,20181007,6728,3110,3110,3110,1538893576,1538893643
JT0695,4,20181007,6387,3060,3060,3060,1538894673,1538894739
JT0695,4,20181007,6531,2960,2960,2960,1538895768,1538895835
JT0695,4,20181007,6152,2860,2860,2860,1538896860,1538896926
JT0695,5,20181007,40496,0,3260,2860,1538890356,1538896994
JT0695,5,20181007,5956,3260,3260,3260,1538890356,1538890423
JT0695,5,20181007,5854,3210,3210,3210,1538891451,1538891517
JT0695,5,20181007,5899,3160,3160,3160,1538892546,1538892612
JT0695,5,20181007,5967,3110,3110,3110,1538893645,1538893711
JT0695,5,20181007,5889,3060,3060,3060,1538894741,1538894808
JT0695,5,20181007,5591,2960,2960,2960,1538895836,1538895903
JT0695,5,20181007,5340,2860,2860,2860,1538896928,1538896994
