#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181109,22.2427,1.21477
YH0205,1,20181109,25.5559,1.49248
YH0205,2,20181109,28.3337,3.60848
YH0205,3,20181109,27.2729,4.91679
YH0205,4,20181109,1.40382e-08,0
YH0205,5,20181109,-6.88114e-17,0
YH0205,6,20181109,17.1358,6.04225
YH0205,7,20181109,26.7014,2.47073
YH0205,8,20181109,33.6307,2.75015
YH0205,9,20181109,11.6253,2.36353
YH0205,10,20181109,16.4779,5.25026
YH0205,11,20181109,15.8508,5.50891
YH0205,12,20181109,26.7186,4.28693
YH0205,13,20181109,25.2473,3.73771
YH0205,14,20181109,18.2553,5.37686
YH0205,15,20181109,13.3642,5.31635
YH0205,16,20181109,25.2283,6.8271
