#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181029,27.8237,0.990625
YH0205,1,20181029,29.3134,2.9254
YH0205,2,20181029,34.0927,3.65798
YH0205,3,20181029,20.9053,3.86846
YH0205,4,20181029,27.5607,2.89462
YH0205,5,20181029,36.844,2.80654
YH0205,6,20181029,30.5809,2.20432
YH0205,7,20181029,29.4419,1.92418
YH0205,8,20181029,36.7703,2.02053
YH0205,9,20181029,17.8145,3.8272
YH0205,10,20181029,22.0915,5.64788
YH0205,11,20181029,27.0025,4.66898
YH0205,12,20181029,28.3995,3.35425
YH0205,13,20181029,27.3203,5.19544
YH0205,14,20181029,25.2863,4.96494
YH0205,15,20181029,25.0083,3.46872
YH0205,16,20181029,26.7474,6.49211
