#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20181005,27.0135,1.05048
JT0695,1,20181005,28.7916,2.46035
JT0695,2,20181005,28.7314,2.38531
JT0695,3,20181005,33.3133,2.84082
JT0695,4,20181005,25.8772,2.48965
JT0695,5,20181005,32.7054,3.35773
JT0695,6,20181005,28.7517,2.48629
JT0695,7,20181005,32.2559,2.95513
JT0695,8,20181005,31.999,3.88804
JT0695,9,20181005,17.5464,2.11855
JT0695,10,20181005,25.7274,6.16561
JT0695,11,20181005,23.3825,5.03879
JT0695,12,20181005,23.8932,5.62862
JT0695,13,20181005,24.65,5.77193
JT0695,14,20181005,23.9274,4.87674
JT0695,15,20181005,24.1644,4.64485
JT0695,16,20181005,26.4999,6.0773
