#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20181006,25.8671,0.985454
JT0695,1,20181006,29.2636,2.07186
JT0695,2,20181006,25.3835,3.01177
JT0695,3,20181006,19.4734,4.511
JT0695,4,20181006,28.3272,2.28447
JT0695,5,20181006,34.6009,3.66913
JT0695,6,20181006,29.4455,2.00974
JT0695,7,20181006,28.5904,3.32433
JT0695,8,20181006,32.8445,3.53672
JT0695,9,20181006,15.7274,2.72719
JT0695,10,20181006,27.5973,3.29216
JT0695,11,20181006,22.6852,5.30055
JT0695,12,20181006,31.695,5.09877
JT0695,13,20181006,22.5223,5.17356
JT0695,14,20181006,22.2374,4.1482
JT0695,15,20181006,22.0749,4.3734
JT0695,16,20181006,21.4051,5.75716
