#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181029,28.8516,0.977068
YH0205,1,20181029,29.8936,2.23199
YH0205,2,20181029,33.2256,2.12222
YH0205,3,20181029,34.4228,2.87568
YH0205,4,20181029,31.4106,2.44942
YH0205,5,20181029,37.0794,3.21294
YH0205,6,20181029,31.5187,1.91355
YH0205,7,20181029,32.7143,1.7987
YH0205,8,20181029,33.4903,2.78801
YH0205,9,20181029,12.7891,1.94555
YH0205,10,20181029,22.6085,5.08498
YH0205,11,20181029,28.6878,3.63789
YH0205,12,20181029,28.4511,5.30214
YH0205,13,20181029,26.7615,4.11115
YH0205,14,20181029,25.6384,5.03561
YH0205,15,20181029,23.7154,5.74873
YH0205,16,20181029,29.2194,7.02496
