#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181029,27.8245,1.12325
YH0205,1,20181029,29.2852,2.21824
YH0205,2,20181029,30.3646,3.44252
YH0205,3,20181029,18.404,6.03631
YH0205,4,20181029,32.7513,2.39718
YH0205,5,20181029,34.466,3.91088
YH0205,6,20181029,30.1762,2.55917
YH0205,7,20181029,31.0844,2.68157
YH0205,8,20181029,32.6606,3.33173
YH0205,9,20181029,21.9331,6.1201
YH0205,10,20181029,24.8049,4.97084
YH0205,11,20181029,26.6434,3.73501
YH0205,12,20181029,25.9865,5.19691
YH0205,13,20181029,31.2301,5.08819
YH0205,14,20181029,20.2248,5.20346
YH0205,15,20181029,26.159,4.49225
YH0205,16,20181029,29.0179,6.9015
