#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181029,-17.4754,0.00786485
YH0205,1,20181029,-18.5086,0.00830141
YH0205,2,20181029,-17.7992,0.00794793
YH0205,3,20181029,-18.1797,0.00814101
YH0205,4,20181029,-17.1421,0.00775158
YH0205,5,20181029,-17.8158,0.00810303
YH0205,6,20181029,-17.3109,0.00786332
YH0205,7,20181029,-17.2927,0.00782476
YH0205,8,20181029,-17.647,0.00802369
YH0205,9,20181029,-18.8526,0.00841556
YH0205,10,20181029,-16.4585,0.00750143
YH0205,11,20181029,-16.3421,0.0074118
YH0205,12,20181029,-17.5727,0.00791792
YH0205,13,20181029,-14.4874,0.00653012
YH0205,14,20181029,-17.7868,0.00796915
YH0205,15,20181029,-18.9262,0.00840447
YH0205,16,20181029,-19.2883,0.00838538
