#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20181005,26.3679,1.07131
JT0695,1,20181005,26.9349,2.89455
JT0695,2,20181005,24.4639,2.21804
JT0695,3,20181005,28.6568,3.13
JT0695,4,20181005,28.9236,3.05676
JT0695,5,20181005,31.1679,4.98674
JT0695,6,20181005,30.1168,2.33858
JT0695,7,20181005,30.7188,2.71958
JT0695,8,20181005,29.4919,3.22609
JT0695,9,20181005,14.5162,5.50343
JT0695,10,20181005,27.6908,5.54964
JT0695,11,20181005,23.4583,5.31134
JT0695,12,20181005,25.2832,3.87428
JT0695,13,20181005,26.5405,4.75046
JT0695,14,20181005,25.0795,4.98867
JT0695,15,20181005,23.4926,5.41481
JT0695,16,20181005,25.3511,5.6705
