#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20181006,26.8666,0.996858
JT0695,1,20181006,28.6353,2.4645
JT0695,2,20181006,29.2708,3.01318
JT0695,3,20181006,29.1862,2.65264
JT0695,4,20181006,31.2201,2.66363
JT0695,5,20181006,36.7353,3.79548
JT0695,6,20181006,29.2565,2.12456
JT0695,7,20181006,29.3176,3.84821
JT0695,8,20181006,34.0858,1.89508
JT0695,9,20181006,17.955,2.33217
JT0695,10,20181006,26.3397,6.04079
JT0695,11,20181006,22.6924,5.11625
JT0695,12,20181006,23.174,3.76209
JT0695,13,20181006,24.8044,6.0292
JT0695,14,20181006,22.3781,3.77654
JT0695,15,20181006,22.8395,5.82811
JT0695,16,20181006,21.9753,4.57711
