#MCP-PMT ID,Ch No.,Date,# of Entries,HV Set Value / V,HV Start / V,HV End / V,Start Time,End Time
JT0695,11,20180923,6337,3210,3210,3210,1537679307,1537679374
JT0695,11,20180923,7192,3160,3160,3160,1537680403,1537680469
JT0695,11,20180923,7455,3110,3110,3110,1537681498,1537681565
JT0695,11,20180923,7259,3060,3060,3060,1537682592,1537682659
JT0695,11,20180923,7039,2960,2960,2960,1537683683,1537683749
JT0695,11,20180923,6885,2860,2860,2860,1537684771,1537684838
JT0695,12,20180923,47118,0,3260,2860,1537678285,1537684906
JT0695,12,20180923,6190,3260,3260,3260,1537678285,1537678351
JT0695,12,20180923,6280,3210,3210,3210,1537679375,1537679441
JT0695,12,20180923,7079,3160,3160,3160,1537680471,1537680537
JT0695,12,20180923,7038,3110,3110,3110,1537681567,1537681633
JT0695,12,20180923,6992,3060,3060,3060,1537682660,1537682727
JT0695,12,20180923,6833,2960,2960,2960,1537683751,1537683817
JT0695,12,20180923,6706,2860,2860,2860,1537684839,1537684906
JT0695,13,20180923,45809,0,3260,2860,1537678353,1537684973
JT0695,13,20180923,6354,3260,3260,3260,1537678353,1537678419
JT0695,13,20180923,6375,3210,3210,3210,1537679443,1537679509
JT0695,13,20180923,6821,3160,3160,3160,1537680539,1537680606
JT0695,13,20180923,6603,3110,3110,3110,1537681635,1537681701
JT0695,13,20180923,6756,3060,3060,3060,1537682728,1537682795
JT0695,13,20180923,6641,2960,2960,2960,1537683818,1537683885
JT0695,13,20180923,6259,2860,2860,2860,1537684907,1537684973
JT0695,14,20180923,47193,0,3260,2860,1537678420,1537685041
JT0695,14,20180923,6286,3260,3260,3260,1537678420,1537678487
JT0695,14,20180923,6410,3210,3210,3210,1537679511,1537679577
JT0695,14,20180923,7084,3160,3160,3160,1537680607,1537680674
JT0695,14,20180923,7068,3110,3110,3110,1537681703,1537681769
JT0695,14,20180923,6926,3060,3060,3060,1537682796,1537682863
JT0695,14,20180923,6955,2960,2960,2960,1537683886,1537683953
JT0695,14,20180923,6464,2860,2860,2860,1537684975,1537685041
JT0695,15,20180923,47168,0,3260,2860,1537678488,1537685109
JT0695,15,20180923,6240,3260,3260,3260,1537678488,1537678555
JT0695,15,20180923,6403,3210,3210,3210,1537679578,1537679645
JT0695,15,20180923,6958,3160,3160,3160,1537680676,1537680742
JT0695,15,20180923,7134,3110,3110,3110,1537681771,1537681837
JT0695,15,20180923,6930,3060,3060,3060,1537682864,1537682931
JT0695,15,20180923,6908,2960,2960,2960,1537683954,1537684020
JT0695,15,20180923,6595,2860,2860,2860,1537685042,1537685109
JT0695,16,20180923,47095,0,3260,2860,1537678556,1537685176
JT0695,16,20180923,6329,3260,3260,3260,1537678556,1537678622
JT0695,16,20180923,6357,3210,3210,3210,1537679646,1537679713
JT0695,16,20180923,6936,3160,3160,3160,1537680744,1537680810
JT0695,16,20180923,6946,3110,3110,3110,1537681839,1537681905
JT0695,16,20180923,7024,3060,3060,3060,1537682932,1537682999
JT0695,16,20180923,6832,2960,2960,2960,1537684022,1537684088
JT0695,16,20180923,6671,2860,2860,2860,1537685110,1537685176
