#MCP-PMT ID,Ch No.,Date,# of Entries,HV Set Value / V,HV Start / V,HV End / V,Start Time,End Time
JT0695,11,20180918,6402,3210,3210,3210,1537263748,1537263815
JT0695,11,20180918,6726,3160,3160,3160,1537264845,1537264912
JT0695,11,20180918,6746,3110,3110,3110,1537265942,1537266009
JT0695,11,20180918,6821,3060,3060,3060,1537267035,1537267102
JT0695,11,20180918,6681,2960,2960,2960,1537268130,1537268197
JT0695,11,20180918,6466,2860,2860,2860,1537269222,1537269289
JT0695,12,20180918,46450,0,3260,2860,1537262726,1537269356
JT0695,12,20180918,6599,3260,3260,3260,1537262726,1537262792
JT0695,12,20180918,6523,3210,3210,3210,1537263816,1537263882
JT0695,12,20180918,6815,3160,3160,3160,1537264913,1537264980
JT0695,12,20180918,6757,3110,3110,3110,1537266010,1537266077
JT0695,12,20180918,6873,3060,3060,3060,1537267104,1537267170
JT0695,12,20180918,6657,2960,2960,2960,1537268198,1537268265
JT0695,12,20180918,6226,2860,2860,2860,1537269290,1537269356
JT0695,13,20180918,47331,0,3260,2860,1537262794,1537269424
JT0695,13,20180918,6692,3260,3260,3260,1537262794,1537262860
JT0695,13,20180918,6499,3210,3210,3210,1537263884,1537263950
JT0695,13,20180918,6983,3160,3160,3160,1537264982,1537265049
JT0695,13,20180918,6888,3110,3110,3110,1537266078,1537266145
JT0695,13,20180918,6963,3060,3060,3060,1537267172,1537267239
JT0695,13,20180918,6818,2960,2960,2960,1537268266,1537268333
JT0695,13,20180918,6488,2860,2860,2860,1537269358,1537269424
JT0695,14,20180918,46307,0,3260,2860,1537262862,1537269492
JT0695,14,20180918,6725,3260,3260,3260,1537262862,1537262928
JT0695,14,20180918,6416,3210,3210,3210,1537263951,1537264019
JT0695,14,20180918,6679,3160,3160,3160,1537265051,1537265117
JT0695,14,20180918,6712,3110,3110,3110,1537266146,1537266213
JT0695,14,20180918,6784,3060,3060,3060,1537267240,1537267307
JT0695,14,20180918,6661,2960,2960,2960,1537268334,1537268401
JT0695,14,20180918,6330,2860,2860,2860,1537269425,1537269492
JT0695,15,20180918,47480,0,3260,2860,1537262929,1537269560
JT0695,15,20180918,6555,3260,3260,3260,1537262929,1537262996
JT0695,15,20180918,6445,3210,3210,3210,1537264020,1537264087
JT0695,15,20180918,7093,3160,3160,3160,1537265119,1537265185
JT0695,15,20180918,6998,3110,3110,3110,1537266214,1537266281
JT0695,15,20180918,6825,3060,3060,3060,1537267309,1537267375
JT0695,15,20180918,6945,2960,2960,2960,1537268402,1537268469
JT0695,15,20180918,6619,2860,2860,2860,1537269493,1537269560
JT0695,16,20180918,46539,0,3260,2860,1537262997,1537269627
JT0695,16,20180918,6562,3260,3260,3260,1537262997,1537263063
JT0695,16,20180918,6404,3210,3210,3210,1537264088,1537264155
JT0695,16,20180918,6804,3160,3160,3160,1537265187,1537265254
JT0695,16,20180918,6776,3110,3110,3110,1537266282,1537266349
JT0695,16,20180918,6637,3060,3060,3060,1537267377,1537267443
JT0695,16,20180918,6656,2960,2960,2960,1537268470,1537268536
JT0695,16,20180918,6700,2860,2860,2860,1537269561,1537269627
