#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20181005,26.4382,0.988622
JT0695,1,20181005,31.1866,2.43591
JT0695,2,20181005,29.3008,2.47513
JT0695,3,20181005,22.297,3.91428
JT0695,4,20181005,27.6296,3.00842
JT0695,5,20181005,33.8132,4.64014
JT0695,6,20181005,27.9881,2.42139
JT0695,7,20181005,30.989,4.60609
JT0695,8,20181005,29.423,3.65746
JT0695,9,20181005,15.9673,2.45287
JT0695,10,20181005,27.4029,4.04386
JT0695,11,20181005,24.8491,3.45909
JT0695,12,20181005,24.8611,4.79168
JT0695,13,20181005,24.2213,5.61827
JT0695,14,20181005,23.6387,4.18956
JT0695,15,20181005,23.7852,4.73571
JT0695,16,20181005,25.6584,4.79054
