#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20181004,25.8784,1.05486
JT0695,1,20181004,32.5636,2.73113
JT0695,2,20181004,27.8932,2.73712
JT0695,3,20181004,28.5089,3.61248
JT0695,4,20181004,22.0997,3.53694
JT0695,5,20181004,32.392,4.66904
JT0695,6,20181004,26.8388,2.9017
JT0695,7,20181004,29.4235,2.76722
JT0695,8,20181004,30.4397,3.21411
JT0695,9,20181004,13.0585,3.95777
JT0695,10,20181004,28.3224,2.96821
JT0695,11,20181004,24.4377,6.2568
JT0695,12,20181004,24.5422,3.91317
JT0695,13,20181004,25.1483,5.81312
JT0695,14,20181004,23.3886,5.68171
JT0695,15,20181004,20.9991,4.52429
JT0695,16,20181004,23.9977,5.53713
