#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181112,27.321,1.1047
YH0205,1,20181112,28.298,1.95713
YH0205,2,20181112,28.2977,2.47112
YH0205,3,20181112,19.3362,3.96592
YH0205,4,20181112,32.7075,2.86293
YH0205,5,20181112,33.5783,3.71173
YH0205,6,20181112,3.08554e-09,0
YH0205,7,20181112,29.8656,2.51195
YH0205,8,20181112,38.3713,2.00783
YH0205,9,20181112,21.3965,5.68112
YH0205,10,20181112,20.9604,3.17275
YH0205,11,20181112,26.36,4.47309
YH0205,12,20181112,27.2531,4.98512
YH0205,13,20181112,26.281,5.36599
YH0205,14,20181112,27.7716,5.66527
YH0205,15,20181112,23.6728,3.89341
YH0205,16,20181112,25.6645,7.30436
