#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181112,-17.4406,0.00783653
YH0205,1,20181112,-18.7841,0.00839219
YH0205,2,20181112,-18.9925,0.00846838
YH0205,3,20181112,-16.6531,0.00745661
YH0205,4,20181112,-17.2884,0.00779869
YH0205,5,20181112,-17.5967,0.00799573
YH0205,6,20181112,-17.3081,0.00784744
YH0205,7,20181112,-17.2365,0.0077812
YH0205,8,20181112,-17.6343,0.0079996
YH0205,9,20181112,-18.7274,0.00834614
YH0205,10,20181112,-16.0621,0.00731486
YH0205,11,20181112,-15.9805,0.00723729
YH0205,12,20181112,-17.4921,0.00787831
YH0205,13,20181112,-15.8533,0.00713884
YH0205,14,20181112,-17.5597,0.00786108
YH0205,15,20181112,-18.5098,0.00820659
YH0205,16,20181112,-19.3918,0.00841239
