#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181029,-17.4182,0.00784281
YH0205,1,20181029,-18.5482,0.00832023
YH0205,2,20181029,-17.9225,0.00801256
YH0205,3,20181029,-17.7936,0.00798171
YH0205,4,20181029,-17.4572,0.00789558
YH0205,5,20181029,-17.5952,0.00800844
YH0205,6,20181029,-17.2677,0.00784895
YH0205,7,20181029,-17.2932,0.00783087
YH0205,8,20181029,-18.1845,0.00826242
YH0205,9,20181029,-18.4826,0.00824501
YH0205,10,20181029,-16.638,0.00758521
YH0205,11,20181029,-16.0268,0.00727118
YH0205,12,20181029,-17.5213,0.00789867
YH0205,13,20181029,-14.5225,0.00654958
YH0205,14,20181029,-17.1782,0.00769937
YH0205,15,20181029,-18.6047,0.00826545
YH0205,16,20181029,-19.1255,0.00831779
