#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181029,-17.439,0.0078618
YH0205,1,20181029,-18.2606,0.00819936
YH0205,2,20181029,-17.7631,0.00795368
YH0205,3,20181029,-18.1292,0.00813642
YH0205,4,20181029,-17.1199,0.00775855
YH0205,5,20181029,-17.8935,0.00814842
YH0205,6,20181029,-17.1702,0.0078147
YH0205,7,20181029,-17.271,0.00782818
YH0205,8,20181029,-17.7011,0.00805711
YH0205,9,20181029,-18.525,0.00827914
YH0205,10,20181029,-16.4351,0.00750327
YH0205,11,20181029,-16.0958,0.00730814
YH0205,12,20181029,-17.4841,0.00789789
YH0205,13,20181029,-14.5565,0.00657781
YH0205,14,20181029,-17.6703,0.00793392
YH0205,15,20181029,-19.6765,0.00873937
YH0205,16,20181029,-19.2386,0.00838107
