#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181029,28.7391,1.07163
YH0205,1,20181029,31.8084,2.36281
YH0205,2,20181029,39.1733,8.05865
YH0205,3,20181029,32.2401,2.9714
YH0205,4,20181029,25.9532,3.24086
YH0205,5,20181029,35.2266,3.32151
YH0205,6,20181029,30.7309,2.10729
YH0205,7,20181029,30.0578,1.99869
YH0205,8,20181029,36.9304,2.07054
YH0205,9,20181029,14.3233,1.93458
YH0205,10,20181029,22.2396,4.61939
YH0205,11,20181029,25.2316,4.13219
YH0205,12,20181029,29.6805,3.21773
YH0205,13,20181029,28.1755,5.77123
YH0205,14,20181029,24.7334,4.35303
YH0205,15,20181029,24.2984,5.01836
YH0205,16,20181029,29.0234,7.1011
