#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181107,-17.4313,0.00783621
YH0205,1,20181107,-18.7703,0.00837467
YH0205,2,20181107,-18.5968,0.00830564
YH0205,3,20181107,-18.4617,0.00826215
YH0205,4,20181107,-17.3368,0.00782088
YH0205,5,20181107,-17.6952,0.00804668
YH0205,6,20181107,-16.8891,0.00766219
YH0205,7,20181107,-17.1088,0.00772057
YH0205,8,20181107,-18.0076,0.00817598
YH0205,9,20181107,-18.7884,0.00837426
YH0205,10,20181107,-16.1322,0.00734845
YH0205,11,20181107,-16.3506,0.00740491
YH0205,12,20181107,-17.038,0.00768073
YH0205,13,20181107,-14.4219,0.00650159
YH0205,14,20181107,-17.5685,0.00786972
YH0205,15,20181107,-18.4836,0.00820702
YH0205,16,20181107,-19.3967,0.00843312
