#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20181006,24.4127,1.14203
JT0695,1,20181006,21.3119,2.24157
JT0695,2,20181006,26.5556,2.83766
JT0695,3,20181006,18.8724,4.29599
JT0695,4,20181006,27.642,5.60633
JT0695,5,20181006,33.7223,5.14781
JT0695,6,20181006,27.6175,3.40971
JT0695,7,20181006,29.0747,2.25293
JT0695,8,20181006,31.7162,2.17097
JT0695,9,20181006,10.6451,6.39309
JT0695,10,20181006,25.3363,5.92033
JT0695,11,20181006,21.9603,4.96954
JT0695,12,20181006,22.4303,4.46804
JT0695,13,20181006,25.2224,5.18189
JT0695,14,20181006,22.4709,4.00203
JT0695,15,20181006,23.2847,5.05025
JT0695,16,20181006,22.7406,5.83532
