#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181105,-17.3605,0.00781045
YH0205,1,20181105,-18.2661,0.00817542
YH0205,2,20181105,-17.7787,0.00794592
YH0205,3,20181105,-18.5189,0.00829079
YH0205,4,20181105,-17.3628,0.00784521
YH0205,5,20181105,-17.7636,0.00808375
YH0205,6,20181105,-17.1592,0.00779557
YH0205,7,20181105,-16.8834,0.00763817
YH0205,8,20181105,-17.878,0.00812313
YH0205,9,20181105,-18.3528,0.00818764
YH0205,10,20181105,-16.1285,0.00735375
YH0205,11,20181105,-16.2948,0.00738193
YH0205,12,20181105,-17.2247,0.00776463
YH0205,13,20181105,-14.3967,0.00648539
YH0205,14,20181105,-17.3318,0.00776633
YH0205,15,20181105,-19.0112,0.00843108
YH0205,16,20181105,-19.3046,0.0083828
