#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181105,-17.5037,0.00786281
YH0205,1,20181105,-18.398,0.00823382
YH0205,2,20181105,-17.6385,0.00787744
YH0205,3,20181105,-18.0045,0.00804317
YH0205,4,20181105,-17.2354,0.00777791
YH0205,5,20181105,-17.6676,0.00802515
YH0205,6,20181105,-16.9783,0.0077051
YH0205,7,20181105,-17.0212,0.00769403
YH0205,8,20181105,-18.1714,0.00824135
YH0205,9,20181105,-18.5452,0.00826443
YH0205,10,20181105,-16.1992,0.00737071
YH0205,11,20181105,-16.3781,0.00741373
YH0205,12,20181105,-17.0808,0.00767655
YH0205,13,20181105,-16.4533,0.00739645
YH0205,14,20181105,-18.055,0.00807376
YH0205,15,20181105,-18.504,0.00820158
YH0205,16,20181105,-19.4665,0.00842966
