#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20180918,24.601,0.843375
JT0695,1,20180918,24.7677,1.96413
JT0695,2,20180918,23.53,2.66539
JT0695,3,20180918,21.8762,2.5094
JT0695,4,20180918,23.8537,2.82422
JT0695,5,20180918,32.6918,3.94363
JT0695,6,20180918,25.1038,2.51951
JT0695,7,20180918,29.0448,3.95272
JT0695,8,20180918,33.3633,2.01871
JT0695,9,20180918,14.2894,2.1008
JT0695,10,20180918,25.9573,2.41345
JT0695,11,20180918,23.1508,3.07919
JT0695,12,20180918,22.0471,3.18781
JT0695,13,20180918,25.0575,4.2729
JT0695,14,20180918,23.2059,4.18321
JT0695,15,20180918,23.3162,4.74741
JT0695,16,20180918,22.3598,5.20353
