#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
JT0695,0,20181004,26.5118,1.02404
JT0695,1,20181004,27.9075,2.9
JT0695,2,20181004,28.1209,3.35605
JT0695,3,20181004,25.4502,4.04127
JT0695,4,20181004,28.4758,4.16588
JT0695,5,20181004,33.3256,3.79116
JT0695,6,20181004,27.1525,2.79722
JT0695,7,20181004,29.3888,2.19104
JT0695,8,20181004,29.9158,2.50924
JT0695,9,20181004,13.4791,3.72145
JT0695,10,20181004,28.0247,3.42553
JT0695,11,20181004,26.1365,5.80446
JT0695,12,20181004,26.3905,3.92536
JT0695,13,20181004,26.0949,4.69376
JT0695,14,20181004,22.9503,5.0513
JT0695,15,20181004,25.5216,4.67068
JT0695,16,20181004,25.8538,6.14482
