#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181112,26.1307,0.992593
YH0205,1,20181112,26.0176,2.34632
YH0205,2,20181112,28.7734,2.38371
YH0205,3,20181112,30.0513,2.66019
YH0205,4,20181112,30.3081,3.74928
YH0205,5,20181112,31.173,6.47494
YH0205,6,20181112,28.2282,2.06436
YH0205,7,20181112,34.4139,1.84643
YH0205,8,20181112,31.1111,3.17389
YH0205,9,20181112,13.451,3.10636
YH0205,10,20181112,25.3059,4.0477
YH0205,11,20181112,24.9715,4.17276
YH0205,12,20181112,23.4792,3.9457
YH0205,13,20181112,26.2023,4.12486
YH0205,14,20181112,20.7155,3.96157
YH0205,15,20181112,20.5983,4.60411
YH0205,16,20181112,23.2903,6.8783
