#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181029,-17.5566,0.00790292
YH0205,1,20181029,-18.5368,0.00830708
YH0205,2,20181029,-17.6187,0.00787805
YH0205,3,20181029,-18.5694,0.00831596
YH0205,4,20181029,-17.2802,0.00781879
YH0205,5,20181029,-17.7604,0.00808596
YH0205,6,20181029,-17.4841,0.00794521
YH0205,7,20181029,-17.3648,0.00785825
YH0205,8,20181029,-17.8515,0.00811306
YH0205,9,20181029,-18.7198,0.00835651
YH0205,10,20181029,-16.4563,0.00749981
YH0205,11,20181029,-16.4757,0.00746942
YH0205,12,20181029,-17.618,0.00794035
YH0205,13,20181029,-14.5574,0.00656657
YH0205,14,20181029,-18.047,0.00808774
YH0205,15,20181029,-19.1115,0.00848615
YH0205,16,20181029,-19.2187,0.00835234
