#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181105,29.6261,1.08848
YH0205,1,20181105,33.1709,2.28333
YH0205,2,20181105,31.6314,3.13487
YH0205,3,20181105,31.8911,3.27568
YH0205,4,20181105,36.2103,2.87273
YH0205,5,20181105,35.5506,5.24529
YH0205,6,20181105,30.8782,2.09941
YH0205,7,20181105,29.9964,2.45743
YH0205,8,20181105,33.7124,5.75246
YH0205,9,20181105,17.0726,2.11381
YH0205,10,20181105,25.2446,4.75915
YH0205,11,20181105,27.5734,4.59021
YH0205,12,20181105,29.7963,5.24474
YH0205,13,20181105,28.745,4.37732
YH0205,14,20181105,27.3969,4.90012
YH0205,15,20181105,25.2652,4.88271
YH0205,16,20181105,29.8824,7.4515
