#MCP-PMT ID,Ch No.,Date,# of Entries,HV Set Value / V,HV Start / V,HV End / V,Start Time,End Time
JT0695,11,20181006,6200,3210,3210,3210,1538820214,1538820280
JT0695,11,20181006,7344,3160,3160,3160,1538821312,1538821378
JT0695,11,20181006,7449,3110,3110,3110,1538822411,1538822478
JT0695,11,20181006,7483,3060,3060,3060,1538823506,1538823573
JT0695,11,20181006,7388,2960,2960,2960,1538824601,1538824668
JT0695,11,20181006,7132,2860,2860,2860,1538825692,1538825758
JT0695,12,20181006,48047,0,3260,2860,1538819188,1538825826
JT0695,12,20181006,6373,3260,3260,3260,1538819188,1538819255
JT0695,12,20181006,6340,3210,3210,3210,1538820281,1538820348
JT0695,12,20181006,7339,3160,3160,3160,1538821380,1538821447
JT0695,12,20181006,7204,3110,3110,3110,1538822479,1538822546
JT0695,12,20181006,7012,3060,3060,3060,1538823575,1538823641
JT0695,12,20181006,6998,2960,2960,2960,1538824669,1538824735
JT0695,12,20181006,6781,2860,2860,2860,1538825759,1538825826
JT0695,13,20181006,46863,0,3260,2860,1538819257,1538825894
JT0695,13,20181006,6314,3260,3260,3260,1538819257,1538819323
JT0695,13,20181006,6010,3210,3210,3210,1538820350,1538820416
JT0695,13,20181006,7157,3160,3160,3160,1538821449,1538821516
JT0695,13,20181006,7075,3110,3110,3110,1538822548,1538822614
JT0695,13,20181006,7019,3060,3060,3060,1538823643,1538823709
JT0695,13,20181006,6966,2960,2960,2960,1538824737,1538824803
JT0695,13,20181006,6322,2860,2860,2860,1538825827,1538825894
JT0695,14,20181006,47455,0,3260,2860,1538819324,1538825962
JT0695,14,20181006,6312,3260,3260,3260,1538819324,1538819391
JT0695,14,20181006,6211,3210,3210,3210,1538820417,1538820484
JT0695,14,20181006,7307,3160,3160,3160,1538821517,1538821584
JT0695,14,20181006,7224,3110,3110,3110,1538822616,1538822682
JT0695,14,20181006,6940,3060,3060,3060,1538823711,1538823777
JT0695,14,20181006,6835,2960,2960,2960,1538824805,1538824871
JT0695,14,20181006,6626,2860,2860,2860,1538825895,1538825962
JT0695,15,20181006,47694,0,3260,2860,1538819392,1538826029
JT0695,15,20181006,6219,3260,3260,3260,1538819392,1538819459
JT0695,15,20181006,6393,3210,3210,3210,1538820485,1538820552
JT0695,15,20181006,7296,3160,3160,3160,1538821586,1538821652
JT0695,15,20181006,7188,3110,3110,3110,1538822684,1538822750
JT0695,15,20181006,6984,3060,3060,3060,1538823779,1538823845
JT0695,15,20181006,7021,2960,2960,2960,1538824873,1538824939
JT0695,15,20181006,6593,2860,2860,2860,1538825963,1538826029
JT0695,16,20181006,47503,0,3260,2860,1538819460,1538826097
JT0695,16,20181006,6231,3260,3260,3260,1538819460,1538819527
JT0695,16,20181006,6345,3210,3210,3210,1538820553,1538820620
JT0695,16,20181006,7120,3160,3160,3160,1538821654,1538821721
JT0695,16,20181006,7000,3110,3110,3110,1538822752,1538822818
JT0695,16,20181006,6979,3060,3060,3060,1538823847,1538823913
JT0695,16,20181006,7122,2960,2960,2960,1538824940,1538825007
JT0695,16,20181006,6706,2860,2860,2860,1538826031,1538826097
