#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
YH0205,0,20181106,-17.5865,0.00790303
YH0205,1,20181106,-18.8124,0.00840996
YH0205,2,20181106,-17.6993,0.0079011
YH0205,3,20181106,-18.4979,0.00827377
YH0205,4,20181106,-17.4729,0.00788878
YH0205,5,20181106,-17.7727,0.00807858
YH0205,6,20181106,-16.9579,0.00770061
YH0205,7,20181106,-17.1471,0.00774781
YH0205,8,20181106,-17.8879,0.00811781
YH0205,9,20181106,-18.6856,0.00832529
YH0205,10,20181106,-16.1671,0.00736452
YH0205,11,20181106,-16.2452,0.0073558
YH0205,12,20181106,-17.6845,0.00795285
YH0205,13,20181106,-15.6156,0.00702663
YH0205,14,20181106,-18.2076,0.00815262
YH0205,15,20181106,-19.205,0.00850304
YH0205,16,20181106,-19.4404,0.00843509
