#MCP-PMT ID,Ch No.,Date,TTS Sigma (ps),Error of TTS Sigma (ps)
YH0205,0,20181105,28.1903,1.04681
YH0205,1,20181105,25.2208,2.75318
YH0205,2,20181105,29.0996,3.21477
YH0205,3,20181105,33.6315,3.08509
YH0205,4,20181105,27.0969,3.19534
YH0205,5,20181105,34.8695,2.75154
YH0205,6,20181105,33.6469,1.70482
YH0205,7,20181105,31.8561,2.15869
YH0205,8,20181105,33.371,2.88414
YH0205,9,20181105,16.2978,3.46091
YH0205,10,20181105,24.6754,4.70842
YH0205,11,20181105,26.6403,4.95374
YH0205,12,20181105,28.9521,5.77982
YH0205,13,20181105,26.6186,4.51029
YH0205,14,20181105,25.6428,5.11351
YH0205,15,20181105,24.9914,5.08541
YH0205,16,20181105,28.4334,7.41518
